data_sources,study_design,study_accrural_periods,sample_size,exposures,exposure_ascertainment,outcomes,outcome_ascertainment,all_results,conclusions,include,original_text
"201 patients who underwent radical cystectomy (RC) between 1980 and 2006, identified through medical records",Cohort,1980 - 2006,201,Urothelial carcinoma (UC) involving the prostate,Identified through pathological review of specimens,Cancer-specific survival associated with depth of tumour invasion and concurrent bladder cancer,Survival estimated using the Kaplan-Meier method and compared with the log-rank test,"5-year cancer-specific survival for patients with pTis, pT2, and pT4a prostate UC was 73%, 57%, and 21% respectively (P < 0.001). Higher prostate tumour stage (HR 2.09; P = 0.01), positive lymph node status (HR 2.09; P = 0.002), and concurrent >=pT3 bladder cancer (HR 4.16; P < 0.001) were significantly associated with an increased risk of death from UC.","Depth of tumour invasion was significantly associated with cancer-specific mortality, and concurrent locally advanced bladder cancer negatively impacted survival.",False,"Title: Urothelial carcinoma involving the prostate: the association of revised tumour stage and coexistent bladder cancer with survival after radical cystectomy.
Abstract: OBJECTIVE: To evaluate survival among patients with urothelial carcinoma (UC) within the prostate in order to assess the impact of depth of tumour invasion as well as the importance of a concurrent bladder tumour., PATIENTS AND METHODS: We identified 201 patients who underwent radical cystectomy (RC) between 1980 and 2006 and were found to have UC involving the prostate. All specimens were re-reviewed by a genitourinary pathologist. Survival was estimated using the Kaplan-Meier method and compared with the log-rank test. Cox hazard regression models tested the association of clinicopathological variables with outcome., RESULTS: In all, 93 patients had pTis disease in the prostate, 43 had pT2 tumours, and 66 patients were pT4a. The median follow-up was 10.5 years. The 5-year cancer-specific survival for patients with pTis, pT2, and pT4a prostate UC was 73%, 57%, and 21% respectively (P < 0.001). On multivariable analysis, higher prostate tumour stage (hazard ratio [HR] 2.09; P = 0.01), positive lymph node status (HR 2.09; P = 0.002), and concurrent >=pT3 bladder cancer (HR 4.16; P < 0.001) were significantly associated with an increased risk of death from UC., CONCLUSIONS: Among patients with prostatic UC involvement, depth of tumour invasion was significantly associated with cancer-specific mortality, validating the staging reclassification. Concurrent locally advanced bladder cancer also negatively impacted survival, suggesting the potential prognostic value of reporting a secondary tumour stage in such cases. Copyright © 2013 The Authors. BJU International © 2013 BJU International."
"1,367 patients with testicular cancer (TC) followed up between 1970 and 2012",Cohort,1970-2012,1367,"therapeutic modalities including orchiectomy, radiotherapy, chemotherapy, and combined chemo-radiotherapy",follow-up of patients and analysis of therapeutic procedures,occurrence of second malignancies (SM),standard incidence ratios (SIR) analysis,"SM occurred in 96 (7.0 %) patients with primary TC; Prostate cancer appeared in 10 patients (SIR 5.2); SM occurs in 1.5 % of patients following orchiectomy alone, in 4.3 % following radiotherapy, 5.0 % following chemotherapy and in 4.4 % following combined chemo-radiotherapy.","Increased SM occurrence in patients with primary TC in comparison with the general population, and it also occurs in younger age at the time of SM diagnosis.",False,"Title: Second malignancies in long-term testicular cancer survivors.
Abstract: PURPOSE: The objective of the present study is to analyze long-term testicular cancer (TC) survivors focusing on the correlation of therapeutic modalities used, the age of patients and second malignancy (SM) occurrence., PATIENTS AND METHODS: A total of 1,367 patients with TC and different subsequent therapeutic procedures were followed up between 1970 and 2012. The occurrence of SM was analyzed by standard incidence ratios (SIR). SM occurred in 96 (7.0 %) patients with primary TC., RESULTS: The most frequent SM was TC (SIR 27.4, n = 64); a significantly higher occurrence was observed after primary testicular seminoma. Prostate cancer appeared in 10 patients (SIR 5.2), with a mean age 54.9 years, while the typical age of patients in Slovakia was 71.4 years. Kidney cancer developed in 6 patients, a significant higher SIR was registered only after primary non-seminomas. The mean patient's age was 48.5 years, while the typical age of all male patients in Slovakia was 62.4 years. Other SM had no significantly higher SIR. Colorectal cancer appeared in 8 patients with primary TC, with a mean age 56.0 years, while the typical age of male patients with primary colorectal cancer in Slovakia was 67.1 years. Other non-testicular tumors appeared in 8 patients. SM occurs in 1.5 % of patients following orchiectomy alone, in 4.3 % following radiotherapy, 5.0 % following chemotherapy and in 4.4 % following combined chemo-radiotherapy., CONCLUSIONS: Preliminary analyses indicate increased SM occurrence in patients with primary TC in comparison with the general population, and it also occurs in younger age at the time of SM diagnosis."
,,,0,,,,,,,False,"Title: Two-stage operation for synchronous triple primary cancer of the esophagus, stomach, and ampulla of Vater: report of a case.
Abstract: A 69-year-old man with jaundice was diagnosed with cancer of the ampulla of Vater by endoscopic retrograde cholangiopancreatography and abdominal computed tomography. A screening gastrointestinal endoscopy showed middle thoracic esophageal cancer and early gastric cancer on the anterior wall of the lower gastric body. We chose a two-stage operation for synchronous triple primary cancer of the esophagus, stomach, and ampulla of Vater, in order to safely perform the curative resection of these three cancers. The first-stage operation consisted of a right transthoracic subtotal esophagectomy with mediastinal and cervical lymph node dissection, an external esophagostomy in the neck, and a gastrostomy. Thirty-five days after the first surgery, a total gastrectomy with regional lymph node dissection, and a pancreatoduodenectomy with Child's reconstruction were performed as the second-stage surgery. Esophageal reconstruction was achieved using the ileocolon via the percutaneous route without vascular anastomosis."
CanCORS/Medicare (diagnoses 2003-2005) and HMO/Cancer Research Network (diagnoses 2000-2005),Cohort,,6227,radiotherapy for prostate cancer,,incidence/risk of second malignancy / second primary cancers,,"Sensitivity, specificity, and PPV ranged widely depending on which codes were included and the type of cancer. For prostate cancer, no code-set offered even moderate sensitivity (<= 19%).",Secondary malignant neoplasm and chemotherapy codes could not identify recurrent cancer without some risk of misclassification. Findings based on existing algorithms should be interpreted with caution.,True,"Title: Validating billing/encounter codes as indicators of lung, colorectal, breast, and prostate cancer recurrence using 2 large contemporary cohorts.
Abstract: BACKGROUND: A substantial proportion of cancer-related mortality is attributable to recurrent, not de novo metastatic disease, yet we know relatively little about these patients. To fill this gap, investigators often use administrative codes for secondary malignant neoplasm or chemotherapy to identify recurrent cases in population-based datasets. However, these algorithms have not been validated in large, contemporary, routine care cohorts., OBJECTIVE: To evaluate the validity of secondary malignant neoplasm and chemotherapy codes as indicators of recurrence after definitive local therapy for stage I-III lung, colorectal, breast, and prostate cancer., RESEARCH DESIGN, SUBJECTS, AND MEASURES: We assessed the sensitivity, specificity, and positive predictive value (PPV) of these codes 14 and 60 months after diagnosis using 2 administrative datasets linked with gold-standard recurrence status information: CanCORS/Medicare (diagnoses 2003-2005) and HMO/Cancer Research Network (diagnoses 2000-2005)., RESULTS: We identified 929 CanCORS/Medicare patients and 5298 HMO/CRN patients. Sensitivity, specificity, and PPV ranged widely depending on which codes were included and the type of cancer. For patients with lung, colorectal, and breast cancer, the combination of secondary malignant neoplasm and chemotherapy codes was the most sensitive (75%-85%); no code-set was highly sensitive and highly specific. For prostate cancer, no code-set offered even moderate sensitivity (<= 19%)., CONCLUSIONS: Secondary malignant neoplasm and chemotherapy codes could not identify recurrent cancer without some risk of misclassification. Findings based on existing algorithms should be interpreted with caution. More work is needed to develop a valid algorithm that can be used to characterize outcomes and define patient cohorts for comparative effectiveness research studies."
"Prostate cancer samples were derived from 142 radical prostatectomy specimens, analyzed using well-annotated tissue microarrays (TMAs) consisting of 724 cores.",Other,,134,Exposure to radiotherapy for prostate cancer is not mentioned in the article.,,PTEN deletions and TMPRSS2-ERG fusions in multifocal prostatic adenocarcinoma.,Three-color fluorescence in situ hybridization analysis was used to map genetic heterogeneity.,PTEN deletion was observed in 56 of 134 (42%) patients (hemizygous=42 and homozygous=14). TMPRSS2-ERG fusion was observed in 63 of 139 (45%) patients. PTEN deletions were significantly associated with Gleason grades 4 or 5 over grade 3 (P<0.001). TMPRSS2-ERG fusions showed a strong relationship with PTEN deletions (P=0.007) but did not correlate with Gleason grade.,"The marked interfocal discordance for both TMPRSS2-ERG fusions and PTEN deletions suggests that multiple foci of prostate cancer arise independently within the same prostate, with distinct patterns of genetic rearrangements.",False,"Title: PTEN losses exhibit heterogeneity in multifocal prostatic adenocarcinoma and are associated with higher Gleason grade.
Abstract: Prostatic adenocarcinoma is an epithelial malignancy characterized by marked histological heterogeneity. It most often has a multifocal distribution within the gland, and different Gleason grades may be present within different foci. Data from our group and others have shown that the genomic deletion of the phosphatase and tensin homolog deleted on chromosome 10 (PTEN) tumor suppressor gene and the disruption of the ETS gene family have a central role in prostate cancer and are likely to be associated with Gleason grade. In this study, prostate cancer samples were systematically analyzed to determine whether there was concordance between PTEN losses and TMPRSS2-ERG fusion rearrangements, within or between foci in multifocal disease, using well-annotated tissue microarrays (TMAs) consisting of 724 cores derived from 142 radical prostatectomy specimens. Three-color fluorescence in situ hybridization analysis of both the PTEN deletion and the TMPRSS2-ERG fusion was used to precisely map genetic heterogeneity, both within and between tumor foci represented on the TMA. PTEN deletion was observed in 56 of 134 (42%) patients (hemizygous=42 and homozygous=14). TMPRSS2-ERG fusion was observed in 63 of 139 (45%) patients. When analyzed by Gleason pattern for a given TMA core, PTEN deletions were significantly associated with Gleason grades 4 or 5 over grade 3 (P<0.001). Although TMPRSS2-ERG fusions showed a strong relationship with PTEN deletions (P=0.007), TMPRSS2-ERG fusions did not show correlation with Gleason grade. The pattern of genetic heterogeneity of PTEN deletion was more diverse than that observed for TMPRSS2-ERG fusions in multifocal disease. However, the marked interfocal discordance for both TMPRSS2-ERG fusions and PTEN deletions was consistent with the concept that multiple foci of prostate cancer arise independently within the same prostate, and that individual tumor foci can have distinct patterns of genetic rearrangements."
"Case report of a 78-year-old man with malignant fibrous histiocytoma/undifferentiated pleomorphic sarcoma of the penis, who had undergone radical prostatectomy and external beam radiation therapy for prostatic adenocarcinoma.",Other,,1,External beam radiation therapy for prostatic adenocarcinoma,Not specified,Development of malignant fibrous histiocytoma/undifferentiated pleomorphic sarcoma of the penis,Clinical observation and pathological examination of the tumor,"The patient developed a 9-cm firm lesion at the base of the penis, with local recurrence 4 months after total penectomy and died from dissemination 6 months after surgery.",This case suggests a potential association between exposure to radiotherapy for prostate cancer and the development of a second malignancy (MFH/UPS) in the penis.,False,"Title: [Malignant fibrous histiocytoma/undifferentiated pleomorphic sarcoma of the penis: a case report].
Abstract: We report the case of a malignant fibrous histiocytoma/undifferentiated pleomorphic sarcoma (MFH/UPS) of the penis in a 78-years-old-man who had undergone previous radical prostatectomy, external beam radiation therapy for prostatic adenocarcinoma. The mass was a 9-cm firm lesion at the base of the penis predominantly composed of malignant spindle cells arranged in sweeping fascicles and storiform pattern. The tumor cells stained for vimentin, beta-smooth muscle actin, S-100, and were negative for keratin, desmin, Melan A, PSA. Despite total penectomy, he developed a local reccurence 4 months after surgery, and died from dissemination 6 months after surgery. This is the 8th case of penile MFH/UPS."
Case report of a 73-year-old male patient; data collected from hospital records and follow-up examinations.,Other,,1,Exposure to radiotherapy for prostate cancer is not mentioned in the article; only surgical intervention (total prostatectomy) is noted.,"Not applicable, as no radiotherapy exposure data is provided.","Incidence of heterochronous triple urogenital cancer (prostatic cancer, bladder cancer, renal cell carcinoma).",Histopathological diagnoses from surgical procedures and follow-up examinations.,"The patient was diagnosed with prostatic cancer in 1998, NMIBC in 2002, and renal cell carcinoma in 2009. Recurrence of NMIBC was noted in 2011.","The case highlights the importance of monitoring for recurrence of primary cancer and the development of heterochronous cancers in urogenital organs, but does not establish a direct association between radiotherapy for prostate cancer and second malignancies.",False,"Title: [Case of heterochronous triple urogenital cancer (renal cell carcinoma, bladder cancer, prostatic cancer)].
Abstract: We report a case of a 73-year-old male with heterochronous triple urogenital cancer. The patient was referred to our hospital because serum PSA was elevated (7.0 ng/ml) in 1998. Prostatic needle biopsy revealed prostatic cancer in the right lobe, and total prostatectomy was performed. The histopathological diagnosis was moderately differentiated adenocarcinoma (TlcNOMO). Non-muscle invasive bladder cancer (NMIBC) was detected during an examination for microhematuria in 2002. Transurethral resection of the bladder tumor (TURBT) procedure was performed, and the histopathological diagnosis was grade 2 urothelial carcinoma (pTa). A right renal mass was detected incidentally on follow-up CT for bladder cancer in 2008. Renal enucleation was performed in 2009. The histopathological diagnosis was grade 2 clear cell renal cell carcinoma (pTlaNXMO). NMIBC was detected on follow-up urethrocystoscopy in 2011. The TURBT procedure was performed, and the histopathological diagnosis was grade 2 urothelial carcinoma (pTa). On follow-up for urogenital cancer patients, it is important to investigate recurrence of the primary cancer and also heterochronous canceration of other urogenital organs."
"Swedish Family-Cancer Database and 10 German cancer registries, data collected from 1997 to 2006",Cohort,1997 to 2006,0,Radiotherapy for prostate cancer (not explicitly mentioned in the article),,Incidence/risk of second primary cancers (SPCs) after prostate cancer,,"Strong positive correlation between the German and Swedish datasets based on the ranks of thirty possible SPCs after all selected first cancers. Identical rankings and proportions for the three most common SPCs (i.e., colorectal, bladder, and lung cancers) after prostate cancer in both populations.",The strikingly consistent patterns of SPCs in the two populations suggest that many underlying reasons for SPC may have universal and tangible causes that await mechanistic dissection.,False,"Title: A population-based comparison of second primary cancers in Germany and Sweden between 1997 and 2006: clinical implications and etiologic aspects.
Abstract: Second primary cancer (SPC) has become an increasing concern in cancer survivorship. Patterns of SPCs in different populations may offer clinical implications and research priorities into SPCs. This study is devoted to compare the occurrences and rank correlations of SPCs between Germany and Sweden. Patients diagnosed with 10 common first primaries between 1997 and 2006 from the Swedish Family-Cancer Database and 10 German cancer registries were included in this population-based study. Spearman's rank correlation coefficients were used to evaluate the strength of the relationship of SPCs between the German and Swedish datasets. Spearman's rank correlation coefficients suggested a strong positive correlation between the German and Swedish datasets based on the ranks of thirty possible SPCs after all selected first cancers. This was also true when we compared the rankings and proportions of the five most common SPCs after site-specific first primaries between the two populations. For kidney cancer, non-Hodgkin's lymphoma, and leukemia the components of the five most common SPCs was exactly the same. Also, the ranking and the proportions for the three most common SPCs (i.e., colorectal, bladder, and lung cancers) after prostate cancer were identical in the two populations, as were those after most other primary cancers. The strikingly consistent patterns of SPCs in the two populations provide excellent opportunities for joint studies and they also suggest that many underlying reasons for SPC may have universal and tangible causes that await mechanistic dissection. Copyright © 2013 The Authors. Cancer Medicine published by John Wiley & Sons Ltd."
"Data collected by the network of Italian association of cancer registries (AIRTUM), covering 48% of the Italian population, with data from 1976 to 2010.",Cohort,1976 to 2010,1635060,"Exposure to radiotherapy for prostate cancer not specifically mentioned; however, the study discusses multiple primary cancers in general.",Not specified in the article.,Incidence of multiple primary cancers (MP) and the association with first cancer diagnoses.,Observed and expected cancer cases calculated using person years at risk (PY) and Standardized Incidence Ratios (SIR).,"For 5,979,338 person-years, 85,399 metachronous cancers were observed, while 77,813 were expected (SIR: 1.10). The SIR was 1.08 for men and 1.12 for women. Increased overall MP risk was observed for patients with first primary cancers in various sites, including oral cavity, pharynx, larynx, and others. Prostate cancer was associated with a decreased MP risk (SIR: 0.93).","Cancer patients had a 10% higher risk of developing a second cancer compared to the general population, with an Excess Absolute Risk of 1.32 x 1,000 person-years. The study highlights the importance of understanding the associations between different cancers for clinical follow-up.",False,"Title: Italian cancer figures, report 2013: Multiple tumours.
Abstract: OBJECTIVES: This collaborative study, based on data collected by the network of Italian association of cancer registries (AIRTUM), provides updated estimates on the incidence risk of multiple primary cancer (MP). The objective is to highlight and quantify the bidirectional associations between different oncological diseases. The quantification of the excess or decreased risk of further cancers in cancer patients, in comparison with the general population, may contribute to understand the aetiology of cancer and to address clinical follow-up., MATERIAL AND METHODS: Data herein presented were provided by AIRTUM population-based cancer registries, which cover nowadays 48% of the Italian population. This monograph utilizes the AIRTUM database (December 2012), considering all malignant cancer cases diagnosed between 1976 and 2010. All cases are coded according to ICD-O-3. Non-melanoma skin cancer cases, cases based on death certificate only, cases based on autopsy only, and cases with follow-up time equal to zero were excluded. To define multiple primaries, IARC-IACR rules were adopted (http://www.iacr.com.fr/MPrules_july2004.pdf). Data were subjected to standard quality control procedures (described in the AIRTUM data management protocol) and specific quality control checks defined for the present study. A cohort of cancer patients was followed over time from first cancer diagnosis until the date of second cancer diagnosis, death, or the end of follow-up, to evaluate whether the number of observed second cancer cases was greater than expected. Person years at risk (PY) were computed by first cancer site, geographic area (North, Centre, South and Islands), attained age, and attained calendar-year group. All second cancers diagnosed in the cohort's patients were included in the observed numbers of cases. The expected number of cancer cases was computed multiplying the accumulated PY by the expected rates, calculated from the AIRTUM database stratified by cancer site, geographic area, age, and calendar-year group. The Standardized Incidence Ratio (SIR) was calculated as the ratio of observed to expected cancer cases. The Excess Absolute Risk (EAR) beyond the expected amount were calculated subtracting the expected number of subsequent cancers from the observed number of cancer cases; the difference was then divided by the PY and the number of cancer cases in excess (or deficit) was expressed per 1,000 PY. Confidence intervals were stated at 95%. The two months (60 days) after first cancer diagnosis were defined as ""synchronicity period"", and in the main analysis observed and expected cases during this period were excluded. It was estimated the excess risk in the period after first diagnosis (>= 0 months), excluding the synchronicity period (>= 2 months), and during the following periods: 2-11, 12-59, 60-119 and 120 months after diagnosis. First-cancer-site-and-gender-specific sheets are presented, reporting both SIRs and EARs., RESULTS: For 5,979,338 person-years a cohort of 1,635,060 cancer patients (880,361 males and 754,699 females) diagnosed between 1976 and 2010 was followed. The mean follow-up length was 14 years. Overall, 85,399 metachronous (latency >=2 months) cancers were observed, while 77,813 were expected during the study period: SIR: 1.10 (95%CI 1.09-1.10), EAR: 1.32 x 1,000 person-years (95%CI 1.19 - 1.46). The SIR was 1.08 (95%CI 1.08-1.09) for men (54,518 observed and 50,260 expected) and 1.12 (95%CI 1.11-1.13) for women (30,881/27,553), and the EAR 1.61 (95%CI 1.37-1.84) and 1.08 x 1,000 person-years (95%CI 0.93-1.24), respectively.Moreover, during the first two months after first cancer diagnosis (synchronous period) 14,807 cancers were observed while 3,536 were expected (SIR: 4.16; 95%CI 4.09-4.22); the SIR was 4.08 (95%CI 4.00-4.16) for men and 4.32 (95%CI 4.20-4.45) for women. The mean age of patients at first cancer diagnosis was 67.0 years among males and 65.8 among females. The risk of MP was related to age being higher for younger patients and lower for older ones. In relation to the time of first cancer diagnosis, the SIR was very high at the beginning and then decreased, although remaining constantly over 1, and then rose over time. No strong differences were evident across the different incidence periods, which all showed an increased MP risk.Women had higher SIRs than expected for 18 cancer sites, men for 12. The statistically significantly SIRs lower than 1 were 2 and 8, respectively. Increased overall MP risk was observed for patients of both sexes with a first primary in the oral cavity (SIR men: 1.93; SIR women: 1.48), pharynx (SIR men: 2.13; SIR women: 1.99), larynx (SIR men: 1.57; SIR women: 1.79), oesophagus (SIR men: 1.45; SIR women: 1.41), lung (SIR men: 1.09; SIR women: 1.13), kidney (SIR men: 1.14; SIR women: 1.15), urinary bladder (SIR men: 1.29; SIR women: 1.22), thyroid (SIR: 1.22 in both sexes), Hodgkin lymphoma (SIR men: 1.59; SIR women: 1.94), and non-Hodgkin lymphoma (SIR men: 1.13; SIR women: 1.12), and for the heterogeneous group ""other sites"" (SIR men: 1.09; SIR women: 1.07). Moreover, men had a higher MP risk if the first cancer was in the testis (SIR: 1.24), while the same was true for women with gallbladder (SIR: 1.21), skin melanoma (SIR: 1.17), bone (SIR: 1.41), breast (SIR: 1.12), cervix uteri (SIR: 1.23) and corpus uteri (SIR: 1.23), and ovarian cancer (SIR: 1.18). On the contrary, a first liver or pancreas cancer were associated with a decreased MP risk in both sexes (liver SIR: 0.86 and 0.81 for men and women, respectively; pancreas SIR: 0.70 and 0.78 for men and women, respectively), as were those of colon (SIR: 0.93), rectum (SIR: 0.83), gallbladder (SIR: 0.80), prostate (SIR: 0.93), mesothelioma (SIR: 0.65), and central nervous system (SIR: 0.82) among men. Among the cancers for which the EAR is statistically significant, those with higher Excess Absolute Risk of MP were those of the oral cavity (EAR: 16.0 x 1,000 person-years in men and 5.4 in women), pharynx (17.6 and 9.1), larynx (11.4 and 8.8), and oesophagus (8.5 and 4.8)., DISCUSSION: This descriptive study provides quantitative information on the risk of developing a second cancer in an Italian population-based cohort of approximately 1.65 million cancer patients, compared to the risk of the general population. During the follow-up time (on average 14 years) cancer patients had an MP risk that was 10% higher in comparison to the general population and an Excess Absolute Risk of 1.32 x 1,000 person-years. Study of MPs and their risk measures are dependent on methods used in the calculation. The definition of MP is not univocal and using different rules can greatly change the number of cancers in a patient with MPs. However, the AIRTUM cancer registries adopt the same recommendations for MP definition. This monograph was therefore made possible by the shared rules and standards used by AIRTUM registries. The cancer site-specific sheets, which represent the core of the monograph, can be useful to highlight and quantify the bidirectional associations among different diseases and therefore provide indications for clinical follow-up. Lifestyle changes in more healthful directions can have a positive effect in the cancer patient population and should always be recommended."
"Cluj-Napoca Municipal Hospital, patients diagnosed with at least two primary cancers",Other,7.5 years,217,,,incidence of multiple malignant tumors,retrospective analysis of patient records,"Included 217 patients (4.33%) with two or more malignant primary tumors from 5003 cases diagnosed with a primary cancer. The most common sites for multiple malignant tumors were related to the breast, colorectum, urinary bladder, prostate and kidneys.",A successful treatment of cancer might not prevent the onset of another primary mass.,False,"Title: Multiple malignant tumors.
Abstract: BACKGROUND: Due to the improvement in diagnosis and therapy for certain malignant tumors, we are now faced with patients who develop in time multiple malignancies., METHODS: We conducted a retrospective analysis of the patients diagnosed with at least two primary cancers that were admitted and treated in Cluj-Napoca Municipal Hospital. The study followed patients for a period of 7.5 years., RESULTS: We included in the present study 217 patients (4.33%) with two or more malignant primary tumors from 5003 cases diagnosed with a primary cancer. The most common sites for multiple malignant tumors were related to the breast, colorectum, urinary bladder, prostate and kidneys., CONCLUSIONS: We should always take into consideration the possibility of synchronous tumors and we have to keep in mind that a successful treatment of cancer might not prevent the onset of another primary mass. Copyright Celsius."
Multi-institutional search identified 63 patients with incidental TURP-diagnosed prostate cancer from 2001 to 2010.,Other,2001 to 2010,63,Transrectal ultrasound-guided needle biopsy (TRUSBx) of the prostate gland following incidental cancer diagnosis after transurethral resection of the prostate (TURP) for benign prostatic hyperplasia.,Patients underwent TRUSBx or radical prostatectomy (RP) after TURP.,"Gleason scores from TURP compared to those from TRUSBx or RP; rates of Gleason score concordance, upgrading, and downgrading.",Comparison of Gleason scores from TURP with those from TRUSBx or RP; analysis of whole mount maps from RP.,"Of 22 patients who underwent TRUSBx, the rates of Gleason score concordance, upgrading and downgrading were 32%, 14% and 54% respectively. Most cases of pathological downgrading consisted of benign cores at biopsy. Therefore, TRUSBx did not give additional Gleason score (GS) information in 86% of patients. Of 41 RP patients, the respective rates were 61%, 22% and 17%. The majority retained a similar or lower GS between TURP and RP. 6 (46%) had anterior/transitional zone tumours, 6 (46%) had multifocal tumours, and 1 (8%) had a large peripheral zone tumour extending into the TZ. TURP-diagnosed cases account for 8.5-13% of all new cases.","TURP-diagnosed prostate cancers represent predominantly AZ tumours. A TRUSBx does not give additional GS information in a majority of cases, and therefore is not routinely indicated. It may be selectively useful prior to active surveillance, but not in all pursuing radical treatment.",False,"Title: Are transrectal prostate biopsies routinely indicated in patients with incidentally diagnosed prostate cancer following transurethral resection of the prostate for benign disease?.
Abstract: OBJECTIVE: To determine the indication of routine transrectal ultrasound-guided needle biopsy (TRUSBx) of the prostate gland following incidental cancer diagnosis after transurethral resection of the prostate (TURP) for benign prostatic hyperplasia., MATERIALS AND METHODS: A multi-institutional search identified 63 patients with incidental TURP-diagnosed prostate cancer from 2001 to 2010, who underwent subsequent TRUSBx or radical prostatectomy (RP). The Gleason scores from TURP were compared to those from TRUSBx or RP. Whole mount maps from RP were analysed to provide an anatomical basis for the correlation observed. To determine the clinical impact of this problem, the incidence of TURP-diagnosed prostate cancer in the population was also determined., RESULTS: Of 22 patients who underwent TRUSBx, the rates of Gleason score concordance, upgrading and downgrading were 32, 14 and 54% respectively (Spearman correlation coefficient 0.20). Most cases of pathological downgrading consisted of benign cores at biopsy. Therefore, TRUSBx did not give additional Gleason score (GS) information in 86% of patients. Of 41 RP patients, the respective rates were 61, 22 and 17% (Spearman correlation coefficient 0.15). The majority of them retained a similar or lower GS between TURP and RP. Of 13 whole mount maps analysed, 6 (46%) were found with anterior/transitional zone (AZ/TZ) tumours, 6 (46%) with multifocal tumours and 1 (8%) with a large peripheral zone (PZ) tumour extending into the TZ. Regional population data show that despite a gradual reduction in the proportion of TURP-diagnosed cases over the past decade, they still account for 8.5-13% of all new cases., CONCLUSION: TURP-diagnosed prostate cancers represent predominantly AZ tumours. A TRUSBx does not give additional GS information in a majority of cases, and therefore is not routinely indicated. It may be selectively useful prior to active surveillance, but not in all pursuing radical treatment. These findings may help reduce unnecessary TRUSBx in the population. Copyright © 2013 S. Karger AG, Basel."
,,,0,,,,,,,False,"Title: Short-term pathological and oncological outcomes after rectal cancer resection in patients with prior pelvic irradiation for another cancer.
Abstract: nan"
,,,0,,,,,,,False,"Title: Multimodality therapy for patients with high-risk prostate cancer: current status and future directions.
Abstract: Prostate cancer is the most commonly diagnosed cancer and second most common cause of cancer death in American men. Although high-risk disease accounts for less than 15% of diagnoses, high-risk prostate cancer patients have a cancer-specific mortality rate of 15% at 10 years. There is currently no consensus on the optimal management of high-risk disease because (1) there are different primary modalities available (ie, surgery, radiation), for which there are no randomized trials comparing efficacy; and (2) unstandardized timing of different therapies (ie, neoadjuvant v concurrent v adjuvant), which makes comparisons of efficacy problematic. Increased understanding into the mechanisms leading to the formation of advanced metastatic disease has spurred the development of agents to target these pathways. However, new questions regarding optimal management of disease arise with regard to the role of these therapies in combination with ""conventional"" primary modalities for earlier stage, high-risk prostate cancer patients. In this article, we review the transforming world of multimodality therapy in high-risk prostate cancer. Copyright © 2013 Elsevier Inc. All rights reserved."
"Minneapolis VA Medical Center tumor registry, 1 January 2005 to 31 December 2009",Cross-sectional,1 January 2005 to 31 December 2009,4449,,,"second or higher order malignancies, synchronous and metachronous malignancies",diagnosis of malignancies during the study period,"A total of 4,449 patients were diagnosed with malignancies during the study period. Of these, 506 patients (11.4 % of cancer diagnoses) had a diagnosis of a second or higher order malignancy. Of the 506 patients, 124 (24.3 %) had synchronous malignancies and 383 (75.5 %) had metachronous malignancies. The most common malignancy pairing was prostate cancer with bladder/ureter cancer (12 %) of MPM diagnoses.","Multiple primary malignancies are a growing area of interest in cancer survivorship. At our institution, approximately 1 in 9 new cancer diagnoses during the 5-year study period represented second-order malignancies. Our data suggest that the VA population is at risk of developing second primary cancers. Further analysis of this population to identify unique risk factors is warranted.",False,"Title: Synchronous and metachronous malignancies: analysis of the Minneapolis Veterans Affairs (VA) tumor registry.
Abstract: PURPOSE: Multiple primary malignancies (MPMs) are increasing as cancer survivorship improves. A large analysis of the SEER database estimates that approximately 16 % of new cancers reported to their registry represent a second or higher order malignancy. The purpose of this study is to estimate the number of MPM diagnoses and to define differences in synchronous and metachronous cancers in the Veterans Affairs (VA) population., METHODS: The primary objective of this study was to determine the proportion of second or higher order cancers diagnosed at the Minneapolis VA Medical Center from 1 January 2005 to 31 December 2009. The secondary objectives were to analyze and compare correlative demographic, exposure, clinical, and tumor data among those with synchronous and metachronous malignancies. We included any patient with a diagnosis of a malignant cancer during the study period., RESULT: A total of 4,449 patients were diagnosed with malignancies during the study period. Of these, 506 patients (11.4 % of cancer diagnoses) had a diagnosis of a second or higher order malignancy. Of the 506 patients, 124 (24.3 %) had synchronous malignancies and 383 (75.5 %) had metachronous malignancies. The most common malignancy pairing was prostate cancer with bladder/ureter cancer (12 %) of MPM diagnoses. Differences between patients with synchronous and metachronous second occurrences were identified., CONCLUSION: Multiple primary malignancies are a growing area of interest in cancer survivorship. At our institution, approximately 1 in 9 new cancer diagnoses during the 5-year study period represented second-order malignancies. Our data suggest that the VA population is at risk of developing second primary cancers. Further analysis of this population to identify unique risk factors is warranted."
